quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,sex,age,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_age,total_stays_per_quarter_sex
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,0,NA,z,0,0,NA,z,9348,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,6,NA,z,0,14,NA,z,9939,192358
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,5,NA,z,0,0,NA,z,9928,195002
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,11,NA,z,0,0,NA,z,10290,200036
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,26,NA,z,0,0,NA,z,5952,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,0,NA,z,0,0,NA,z,8591,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,5,NA,z,0,0,NA,z,7323,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,7,NA,z,0,7,NA,z,6509,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,10-19 years,0,5,NA,z,0,0,NA,z,8780,191481
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,5,NA,z,0,5,NA,z,28088,193692
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,0,NA,z,0,0,NA,z,24641,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,5,NA,z,0,0,NA,z,26824,190694
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,0,NA,z,0,0,NA,z,25758,193702
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,5,NA,z,0,30,NA,z,26604,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,10,NA,z,0,10,NA,z,26720,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,48,NA,z,0,62,NA,z,26501,195002
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,5,1,NA,5,15,3,NA,27260,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,33,6.6,NA,5,26,5.2,NA,28422,202497
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,12,2.4,NA,0,5,NA,z,23833,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,9,NA,z,0,0,NA,z,18935,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,0,NA,z,0,0,NA,z,22903,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,10,2,NA,0,8,NA,z,20850,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,12,2.4,NA,5,10,2,NA,20577,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,0,9,NA,z,0,0,NA,z,23303,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,20-29 years,5,11,2.2,NA,5,11,2.2,NA,22896,184949
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,5,1,NA,0,5,NA,z,27853,191758
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,5,NA,z,0,0,NA,z,29451,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,0,NA,z,0,0,NA,z,30253,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,10,NA,z,0,0,NA,z,27960,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,5,1,NA,5,40,8,NA,28426,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,24,4.8,NA,0,0,NA,z,29581,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,0,NA,z,0,5,NA,z,30535,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,15,3,NA,5,6,1.2,NA,29487,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,8,1.6,NA,5,20,4,NA,29863,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,5,1,NA,0,38,NA,z,31975,200036
