quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,simd,simdqf,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_simd,total_episodes_per_quarter_simd
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,72,259,3.59722222222222,NA,64,630,9.84375,NA,106245,107465
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,97,255,2.62886597938144,NA,83,583,7.02409638554217,NA,103596,105102
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,83,139,1.67469879518072,NA,70,431,6.15714285714286,NA,101208,102663
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,92,174,1.89130434782609,NA,74,363,4.90540540540541,NA,103344,104270
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,83,264,3.18072289156627,NA,69,480,6.95652173913043,NA,102745,104338
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,78,219,2.80769230769231,NA,69,511,7.40579710144928,NA,104033,106076
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,76,148,1.94736842105263,NA,70,659,9.41428571428571,NA,102970,103966
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,98,184,1.87755102040816,NA,83,440,5.30120481927711,NA,102891,104068
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,98,263,2.68367346938776,NA,78,496,6.35897435897436,NA,103640,105287
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,89,237,2.66292134831461,NA,73,613,8.3972602739726,NA,103887,105590
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,109,231,2.11926605504587,NA,90,518,5.75555555555556,NA,106111,107639
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,101,181,1.79207920792079,NA,85,565,6.64705882352941,NA,107289,108730
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,84,117,1.39285714285714,NA,70,379,5.41428571428571,NA,108731,110532
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,84,191,2.27380952380952,NA,70,294,4.2,NA,106455,108127
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,86,165,1.91860465116279,NA,75,568,7.57333333333333,NA,98344,98021
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,110,275,2.5,NA,82,840,10.2439024390244,NA,80673,83110
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,93,260,2.79569892473118,NA,80,691,8.6375,NA,96701,98499
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,95,181,1.90526315789474,NA,70,295,4.21428571428571,NA,92374,93674
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,106,234,2.20754716981132,NA,87,478,5.49425287356322,NA,89456,91189
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,108,224,2.07407407407407,NA,85,551,6.48235294117647,NA,102177,103517
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,1,NA,123,212,1.72357723577236,NA,103,583,5.66019417475728,NA,97829,98731
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,48,205,4.27083333333333,NA,40,468,11.7,NA,84182,85607
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,48,95,1.97916666666667,NA,33,279,8.45454545454546,NA,83519,85066
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,42,67,1.5952380952381,NA,35,177,5.05714285714286,NA,84626,85955
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,62,115,1.85483870967742,NA,46,292,6.34782608695652,NA,85141,86553
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,61,128,2.09836065573771,NA,42,258,6.14285714285714,NA,84955,86445
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,59,215,3.64406779661017,NA,43,423,9.83720930232558,NA,84805,86768
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,53,105,1.9811320754717,NA,44,291,6.61363636363636,NA,85976,87144
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,60,137,2.28333333333333,NA,55,356,6.47272727272727,NA,85164,86141
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,54,251,4.64814814814815,NA,46,535,11.6304347826087,NA,84037,85973
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,51,173,3.3921568627451,NA,45,581,12.9111111111111,NA,86126,87600
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,64,151,2.359375,NA,45,274,6.08888888888889,NA,86380,87421
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,77,138,1.79220779220779,NA,65,366,5.63076923076923,NA,88381,90071
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,67,163,2.43283582089552,NA,55,341,6.2,NA,88978,90408
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,53,161,3.0377358490566,NA,40,233,5.825,NA,88767,90413
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,43,136,3.16279069767442,NA,35,247,7.05714285714286,NA,83194,82750
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,74,199,2.68918918918919,NA,60,315,5.25,NA,66222,68211
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,41,106,2.58536585365854,NA,35,212,6.05714285714286,NA,80340,82023
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,55,125,2.27272727272727,NA,50,218,4.36,NA,76999,78300
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,60,117,1.95,NA,50,193,3.86,NA,76119,77546
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,55,95,1.72727272727273,NA,45,576,12.8,NA,84525,86041
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,2,NA,66,271,4.10606060606061,NA,60,509,8.48333333333333,NA,82189,82892
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,59,178,3.01694915254237,NA,45,440,9.77777777777778,NA,68728,70229
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,42,123,2.92857142857143,NA,35,248,7.08571428571429,NA,68398,70070
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,50,95,1.9,NA,45,239,5.31111111111111,NA,68230,69803
