year,year_quarter,month,treatment_location,region,treatment_location_name,department_type,number_of_attendances_aggregate,hrs_waiting,number_attendances
2016,2016Q3,07,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5508,hrs_waiting_4,5333
2016,2016Q3,07,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5508,hrs_more_waiting_8,17
2016,2016Q3,07,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5508,hrs_more_waiting_12,1
2016,2016Q3,07,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3884,hrs_waiting_4,3491
2016,2016Q3,07,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3884,hrs_more_waiting_8,62
2016,2016Q3,07,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3884,hrs_more_waiting_12,5
2016,2016Q3,07,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2406,hrs_waiting_4,2320
2016,2016Q3,07,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2406,hrs_more_waiting_8,3
2016,2016Q3,07,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2406,hrs_more_waiting_12,0
2016,2016Q3,07,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1137,hrs_waiting_4,1106
2016,2016Q3,07,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1137,hrs_more_waiting_8,5
2016,2016Q3,07,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1137,hrs_more_waiting_12,0
2016,2016Q3,07,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3140,hrs_waiting_4,3075
2016,2016Q3,07,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3140,hrs_more_waiting_8,1
2016,2016Q3,07,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3140,hrs_more_waiting_12,0
2016,2016Q3,07,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5310,hrs_waiting_4,5119
2016,2016Q3,07,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5310,hrs_more_waiting_8,3
2016,2016Q3,07,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5310,hrs_more_waiting_12,0
