week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,wk_ending_yr_month,wk_ending_month,wk_ending_year,year_quarter,total_admissions_per_month_age,admissions_2018_19_per_month_age,total_admissions_per_quarter_age,admissions_2018_19_per_quarter_age,total_admissions_per_month_sex,admissions_2018_19_per_month_sex,total_admissions_per_quarter_sex,admissions_2018_19_per_quarter_sex
2020-01-05,S08000015,NA,Under 5,NA,All,d,Emergency,NA,87,86.5,0.6,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,5 - 14,NA,All,d,Emergency,NA,26,32.5,-20,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,15 - 44,NA,All,d,Emergency,NA,170,187.5,-9.3,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,45 - 64,NA,All,d,Emergency,NA,235,246,-4.5,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,65 - 74,NA,All,d,Emergency,NA,173,185.5,-6.7,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,75 - 84,NA,All,d,Emergency,NA,158,173.5,-8.9,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,85 and over,NA,All,d,Emergency,NA,105,124.5,-15.7,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,All ages,d,All,d,Emergency,NA,954,1036,-7.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000015,NA,All ages,d,Female,NA,Emergency,NA,472,520.5,-9.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000015,NA,All ages,d,Male,NA,Emergency,NA,473,508.5,-7,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000016,NA,Under 5,NA,All,d,Emergency,NA,25,28.5,-12.3,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,15 - 44,NA,All,d,Emergency,NA,27,32,-15.6,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,45 - 64,NA,All,d,Emergency,NA,43,48.5,-11.3,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,65 - 74,NA,All,d,Emergency,NA,53,39.5,34.2,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,75 - 84,NA,All,d,Emergency,NA,56,51,9.8,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,85 and over,NA,All,d,Emergency,NA,47,36,30.6,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,All ages,d,All,d,Emergency,NA,253,242.5,4.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000016,NA,All ages,d,Female,NA,Emergency,NA,126,119,5.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000016,NA,All ages,d,Male,NA,Emergency,NA,122,121,0.8,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000017,NA,Under 5,NA,All,d,Emergency,NA,25,33.5,-25.4,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,5 - 14,NA,All,d,Emergency,NA,7,11,-36.4,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,15 - 44,NA,All,d,Emergency,NA,59,67,-11.9,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,45 - 64,NA,All,d,Emergency,NA,78,63,23.8,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,65 - 74,NA,All,d,Emergency,NA,57,62,-8.1,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,75 - 84,NA,All,d,Emergency,NA,68,67,1.5,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,85 and over,NA,All,d,Emergency,NA,49,47,4.3,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,All ages,d,All,d,Emergency,NA,343,350.5,-2.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000017,NA,All ages,d,Female,NA,Emergency,NA,171,172,-0.6,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000017,NA,All ages,d,Male,NA,Emergency,NA,169,175,-3.4,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000019,NA,Under 5,NA,All,d,Emergency,NA,32,115,-72.2,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,5 - 14,NA,All,d,Emergency,NA,16,41,-61,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,15 - 44,NA,All,d,Emergency,NA,110,212,-48.1,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,45 - 64,NA,All,d,Emergency,NA,156,269,-42,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,65 - 74,NA,All,d,Emergency,NA,81,199.5,-59.4,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,75 - 84,NA,All,d,Emergency,NA,134,255.5,-47.6,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,85 and over,NA,All,d,Emergency,NA,70,152.5,-54.1,January 2020,January,2020,2020Q1,11546,11957,33725,36240.5,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,All ages,d,All,d,Emergency,NA,599,1244.5,-51.9,January 2020,January,2020,2020Q1,189038,194830,575414,632285,189831,195438,577674,634305.5
2020-01-05,S08000019,NA,All ages,d,Female,NA,Emergency,NA,299,614,-51.3,January 2020,January,2020,2020Q1,189038,194830,575414,632285,47374,48603,143994,158279
2020-01-05,S08000019,NA,All ages,d,Male,NA,Emergency,NA,295,616,-52.1,January 2020,January,2020,2020Q1,189038,194830,575414,632285,46720,48459,142470,156661
2020-01-05,S08000020,NA,Under 5,NA,All,d,Emergency,NA,107,71.5,49.7,January 2020,January,2020,2020Q1,6519,7480.5,20442,24437.5,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,5 - 14,NA,All,d,Emergency,NA,47,28,67.9,January 2020,January,2020,2020Q1,3235,3393.5,10777,12376.5,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,15 - 44,NA,All,d,Emergency,NA,177,154,14.9,January 2020,January,2020,2020Q1,18668,18094,58582,62221,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,45 - 64,NA,All,d,Emergency,NA,226,206,9.7,January 2020,January,2020,2020Q1,22332,22710,68139,74562,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,65 - 74,NA,All,d,Emergency,NA,164,153.5,6.8,January 2020,January,2020,2020Q1,15155,16049,46220,51077,189831,195438,577674,634305.5
2020-01-05,S08000020,NA,75 - 84,NA,All,d,Emergency,NA,183,186,-1.6,January 2020,January,2020,2020Q1,17432,17986,50839,56046,189831,195438,577674,634305.5
