week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,wk_ending_yr_month,wk_ending_month,wk_ending_year,year_quarter,total_admissions_per_month_simd,admissions_2018_19_per_month_simd,total_admissions_per_quarter_simd,admissions_2018_19_per_quarter_simd
2020-01-05,S08000015,NA,1,Emergency,NA,358,380.5,-5.9,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000015,NA,2,Emergency,NA,242,266,-9,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000015,NA,3,Emergency,NA,158,159,-0.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000015,NA,4,Emergency,NA,117,117.5,-0.4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000015,NA,5,Emergency,NA,71,108,-34.3,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000016,NA,1,Emergency,NA,20,23,-13,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000016,NA,2,Emergency,NA,55,46.5,18.3,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000016,NA,3,Emergency,NA,87,88.5,-1.7,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000016,NA,4,Emergency,NA,76,65.5,16,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000016,NA,5,Emergency,NA,9,14.5,-37.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000017,NA,1,Emergency,NA,37,43,-14,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000017,NA,2,Emergency,NA,109,107,1.9,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000017,NA,3,Emergency,NA,110,124.5,-11.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000017,NA,4,Emergency,NA,51,43,18.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000017,NA,5,Emergency,NA,31,26.5,17,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000019,NA,1,Emergency,NA,142,308,-53.9,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000019,NA,2,Emergency,NA,159,297.5,-46.6,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000019,NA,3,Emergency,NA,118,266,-55.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000019,NA,4,Emergency,NA,88,193.5,-54.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000019,NA,5,Emergency,NA,89,170,-47.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000020,NA,1,Emergency,NA,88,78,12.8,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000020,NA,2,Emergency,NA,205,188,9,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000020,NA,3,Emergency,NA,250,200,25,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000020,NA,4,Emergency,NA,258,248,4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000020,NA,5,Emergency,NA,235,204,15.2,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000022,NA,1,Emergency,NA,78,82.5,-5.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000022,NA,2,Emergency,NA,113,126.5,-10.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000022,NA,3,Emergency,NA,222,206,7.8,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000022,NA,4,Emergency,NA,182,136.5,33.3,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000022,NA,5,Emergency,NA,36,39.5,-8.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000024,NA,1,Emergency,NA,318,289.5,9.8,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000024,NA,2,Emergency,NA,492,428,15,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000024,NA,3,Emergency,NA,366,259,41.3,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000024,NA,4,Emergency,NA,295,257.5,14.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000024,NA,5,Emergency,NA,386,331,16.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000025,NA,3,Emergency,NA,9,5.5,63.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000025,NA,4,Emergency,NA,20,19.5,2.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000026,NA,3,Emergency,NA,5,14.5,-65.5,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000026,NA,4,Emergency,NA,18,16.5,9.1,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000028,NA,2,Emergency,NA,7,14,-50,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000028,NA,3,Emergency,NA,49,56,-12.5,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000029,NA,1,Emergency,NA,228,241.5,-5.6,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000029,NA,2,Emergency,NA,210,208.5,0.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000029,NA,3,Emergency,NA,169,152,11.2,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000029,NA,4,Emergency,NA,148,130,13.8,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000029,NA,5,Emergency,NA,103,107.5,-4.2,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000030,NA,1,Emergency,NA,210,244.5,-14.1,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000030,NA,2,Emergency,NA,191,235,-18.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000030,NA,3,Emergency,NA,173,201,-13.9,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000030,NA,4,Emergency,NA,235,234,0.4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000030,NA,5,Emergency,NA,160,158.5,0.9,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000031,NA,1,Emergency,NA,1128,1200,-6,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000031,NA,2,Emergency,NA,573,530,8.1,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000031,NA,3,Emergency,NA,408,358.5,13.8,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000031,NA,4,Emergency,NA,307,323,-5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000031,NA,5,Emergency,NA,338,333,1.5,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S08000032,NA,1,Emergency,NA,513,500.5,2.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S08000032,NA,2,Emergency,NA,422,425,-0.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S08000032,NA,3,Emergency,NA,271,265.5,2.1,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S08000032,NA,4,Emergency,NA,182,180,1.1,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S08000032,NA,5,Emergency,NA,124,130,-4.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-05,S92000003,d,1,Emergency,NA,3121,3391.5,-8,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-05,S92000003,d,2,Emergency,NA,2784,2882,-3.4,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-05,S92000003,d,3,Emergency,NA,2395,2356,1.7,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-05,S92000003,d,4,Emergency,NA,1978,1966,0.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-05,S92000003,d,5,Emergency,NA,1582,1624,-2.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000015,NA,1,Emergency,NA,422,385.5,9.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000015,NA,2,Emergency,NA,237,262,-9.5,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000015,NA,3,Emergency,NA,139,190.5,-27,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000015,NA,4,Emergency,NA,104,123,-15.4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000015,NA,5,Emergency,NA,94,103.5,-9.2,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000016,NA,1,Emergency,NA,14,13,7.7,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000016,NA,2,Emergency,NA,44,57,-22.8,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000016,NA,3,Emergency,NA,86,97,-11.3,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000016,NA,4,Emergency,NA,58,62.5,-7.2,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000016,NA,5,Emergency,NA,10,14,-28.6,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000017,NA,1,Emergency,NA,39,51,-23.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000017,NA,2,Emergency,NA,95,98,-3.1,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000017,NA,3,Emergency,NA,141,151.5,-6.9,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000017,NA,4,Emergency,NA,51,59,-13.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000017,NA,5,Emergency,NA,32,26,23.1,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000019,NA,1,Emergency,NA,138,261.5,-47.2,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000019,NA,2,Emergency,NA,137,269.5,-49.2,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000019,NA,3,Emergency,NA,99,245,-59.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000019,NA,4,Emergency,NA,92,197.5,-53.4,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000019,NA,5,Emergency,NA,89,142,-37.3,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000020,NA,1,Emergency,NA,95,86,10.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000020,NA,2,Emergency,NA,203,200,1.5,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000020,NA,3,Emergency,NA,247,217.5,13.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000020,NA,4,Emergency,NA,290,277.5,4.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000020,NA,5,Emergency,NA,231,203.5,13.5,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000022,NA,1,Emergency,NA,89,77.5,14.8,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000022,NA,2,Emergency,NA,122,120,1.7,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000022,NA,3,Emergency,NA,208,210.5,-1.2,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000022,NA,4,Emergency,NA,152,149.5,1.7,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000022,NA,5,Emergency,NA,43,32,34.4,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000024,NA,1,Emergency,NA,289,287.5,0.5,January 2020,January,2020,2020Q1,25253,26700,76931,86266.5
2020-01-12,S08000024,NA,2,Emergency,NA,511,428.5,19.3,January 2020,January,2020,2020Q1,21920,22379,66366,73036.5
2020-01-12,S08000024,NA,3,Emergency,NA,321,304,5.6,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000024,NA,4,Emergency,NA,298,237.5,25.5,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000024,NA,5,Emergency,NA,351,355,-1.1,January 2020,January,2020,2020Q1,12743,12922.5,39592,42357.5
2020-01-12,S08000025,NA,3,Emergency,NA,7,6,16.7,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000025,NA,4,Emergency,NA,19,17.5,8.6,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
2020-01-12,S08000026,NA,3,Emergency,NA,11,13.5,-18.5,January 2020,January,2020,2020Q1,18670,19072,56126,61769.5
2020-01-12,S08000026,NA,4,Emergency,NA,13,24,-45.8,January 2020,January,2020,2020Q1,15691,16041.5,48099,51865
