year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2016,2016Q3,07,A101H,Minor Injury Unit or Other,343,340,0,0
2016,2016Q3,07,A110H,Minor Injury Unit or Other,114,114,0,0
2016,2016Q3,07,A111H,Emergency Department,5508,5333,17,1
2016,2016Q3,07,A210H,Emergency Department,3884,3491,62,5
2016,2016Q3,07,A216H,Minor Injury Unit or Other,92,92,0,0
2016,2016Q3,07,B103H,Minor Injury Unit or Other,18,18,0,0
2016,2016Q3,07,B105H,Minor Injury Unit or Other,94,94,0,0
2016,2016Q3,07,B114H,Minor Injury Unit or Other,16,16,0,0
2016,2016Q3,07,B118H,Minor Injury Unit or Other,53,53,0,0
2016,2016Q3,07,B120H,Emergency Department,2406,2320,3,0
2016,2016Q3,07,Y101H,Minor Injury Unit or Other,31,31,0,0
2016,2016Q3,07,Y106H,Minor Injury Unit or Other,63,63,0,0
2016,2016Q3,07,Y109H,Minor Injury Unit or Other,7,7,0,0
2016,2016Q3,07,Y110H,Minor Injury Unit or Other,21,21,0,0
2016,2016Q3,07,Y144H,Emergency Department,1137,1106,5,0
2016,2016Q3,07,Y146H,Emergency Department,3140,3075,1,0
2016,2016Q3,07,F704H,Emergency Department,5310,5119,3,0
2016,2016Q3,07,F708H,Minor Injury Unit or Other,162,162,0,0
2016,2016Q3,07,F709H,Minor Injury Unit or Other,295,295,0,0
2016,2016Q3,07,F805H,Minor Injury Unit or Other,1750,1750,0,0
2016,2016Q3,07,V201H,Minor Injury Unit or Other,1276,1274,0,0
2016,2016Q3,07,V217H,Emergency Department,5274,5100,1,0
2016,2016Q3,07,N101H,Emergency Department,5053,4761,6,0
2016,2016Q3,07,N121H,Emergency Department,1125,1109,0,0
2016,2016Q3,07,N151H,Minor Injury Unit or Other,91,91,0,0
2016,2016Q3,07,N331H,Minor Injury Unit or Other,9,9,0,0
2016,2016Q3,07,N332H,Minor Injury Unit or Other,29,29,0,0
2016,2016Q3,07,N333H,Minor Injury Unit or Other,1349,1349,0,0
2016,2016Q3,07,N334H,Minor Injury Unit or Other,731,725,0,0
2016,2016Q3,07,N335H,Minor Injury Unit or Other,285,278,0,0
2016,2016Q3,07,N336H,Minor Injury Unit or Other,214,214,0,0
2016,2016Q3,07,N337H,Minor Injury Unit or Other,304,296,0,0
2016,2016Q3,07,N411H,Emergency Department,2234,2180,4,0
2016,2016Q3,07,N431H,Minor Injury Unit or Other,47,47,0,0
2016,2016Q3,07,N432H,Minor Injury Unit or Other,26,26,0,0
2016,2016Q3,07,N433H,Minor Injury Unit or Other,107,107,0,0
2016,2016Q3,07,N451H,Minor Injury Unit or Other,33,33,0,0
2016,2016Q3,07,N494H,Minor Injury Unit or Other,135,135,0,0
2016,2016Q3,07,N683C,Minor Injury Unit or Other,33,33,0,0
2016,2016Q3,07,C206H,Minor Injury Unit or Other,1458,1442,0,0
2016,2016Q3,07,C313H,Emergency Department,2663,2570,1,0
2016,2016Q3,07,C418H,Emergency Department,5716,5164,35,1
2016,2016Q3,07,G107H,Emergency Department,7661,6555,28,0
2016,2016Q3,07,G207H,Minor Injury Unit or Other,1478,1477,1,0
2016,2016Q3,07,G306H,Minor Injury Unit or Other,2399,2398,0,0
2016,2016Q3,07,G405H,Emergency Department,8077,7477,16,1
2016,2016Q3,07,G513H,Emergency Department,3745,3730,0,0
2016,2016Q3,07,G516H,Minor Injury Unit or Other,878,878,0,0
2016,2016Q3,07,C106H,Minor Injury Unit or Other,635,635,0,0
