year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs,discharge_destination_admission_to_same,discharge_destination_other_specialty,discharge_destination_residence,discharge_destination_transfer,discharge_destination_unknown
2016,2016Q3,07,A101H,Minor Injury Unit or Other,343,340,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,A110H,Minor Injury Unit or Other,114,114,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,A111H,Emergency Department,5508,5333,17,1,1903,16,3280,127,182
2016,2016Q3,07,A210H,Emergency Department,3884,3491,62,5,1342,2,2374,128,38
2016,2016Q3,07,A216H,Minor Injury Unit or Other,92,92,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,B103H,Minor Injury Unit or Other,18,18,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,B105H,Minor Injury Unit or Other,94,94,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,B114H,Minor Injury Unit or Other,16,16,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,B118H,Minor Injury Unit or Other,53,53,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,B120H,Emergency Department,2406,2320,3,0,818,3,1383,186,16
2016,2016Q3,07,Y101H,Minor Injury Unit or Other,31,31,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,Y106H,Minor Injury Unit or Other,63,63,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,Y109H,Minor Injury Unit or Other,7,7,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,Y110H,Minor Injury Unit or Other,21,21,0,0,0,0,18,3,0
2016,2016Q3,07,Y144H,Emergency Department,1137,1106,5,0,87,0,935,77,38
2016,2016Q3,07,Y146H,Emergency Department,3140,3075,1,0,1002,2,2031,63,42
2016,2016Q3,07,F704H,Emergency Department,5310,5119,3,0,1343,10,3683,88,186
2016,2016Q3,07,F708H,Minor Injury Unit or Other,162,162,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,F709H,Minor Injury Unit or Other,295,295,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,F805H,Minor Injury Unit or Other,1750,1750,0,0,5,0,1629,108,8
2016,2016Q3,07,V201H,Minor Injury Unit or Other,1276,1274,0,0,2,0,941,33,300
2016,2016Q3,07,V217H,Emergency Department,5274,5100,1,0,1342,10,3065,52,805
2016,2016Q3,07,N101H,Emergency Department,5053,4761,6,0,1311,12,3218,24,488
2016,2016Q3,07,N121H,Emergency Department,1125,1109,0,0,137,0,935,0,53
2016,2016Q3,07,N151H,Minor Injury Unit or Other,91,91,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N331H,Minor Injury Unit or Other,9,9,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N332H,Minor Injury Unit or Other,29,29,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N333H,Minor Injury Unit or Other,1349,1349,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N334H,Minor Injury Unit or Other,731,725,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N335H,Minor Injury Unit or Other,285,278,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N336H,Minor Injury Unit or Other,214,214,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N337H,Minor Injury Unit or Other,304,296,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N411H,Emergency Department,2234,2180,4,0,391,3,1777,11,52
2016,2016Q3,07,N431H,Minor Injury Unit or Other,47,47,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N432H,Minor Injury Unit or Other,26,26,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N433H,Minor Injury Unit or Other,107,107,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N451H,Minor Injury Unit or Other,33,33,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N494H,Minor Injury Unit or Other,135,135,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,N683C,Minor Injury Unit or Other,33,33,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,C206H,Minor Injury Unit or Other,1458,1442,0,0,223,4,1134,85,12
2016,2016Q3,07,C313H,Emergency Department,2663,2570,1,0,665,0,1835,52,111
2016,2016Q3,07,C418H,Emergency Department,5716,5164,35,1,1888,9,3561,121,137
2016,2016Q3,07,G107H,Emergency Department,7661,6555,28,0,2564,18,4550,161,368
2016,2016Q3,07,G207H,Minor Injury Unit or Other,1478,1477,1,0,0,0,1361,102,15
2016,2016Q3,07,G306H,Minor Injury Unit or Other,2399,2398,0,0,0,1,2148,232,18
2016,2016Q3,07,G405H,Emergency Department,8077,7477,16,1,2587,27,5138,128,197
2016,2016Q3,07,G513H,Emergency Department,3745,3730,0,0,683,1,3056,1,4
2016,2016Q3,07,G516H,Minor Injury Unit or Other,878,878,0,0,2,1,794,81,0
2016,2016Q3,07,C106H,Minor Injury Unit or Other,635,635,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,C108H,Minor Injury Unit or Other,143,143,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,C113H,Minor Injury Unit or Other,384,382,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,C121H,Emergency Department,717,705,0,0,162,1,538,16,0
2016,2016Q3,07,C122H,Minor Injury Unit or Other,577,577,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H101H,Minor Injury Unit or Other,234,234,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H103H,Emergency Department,621,611,0,0,190,0,426,5,0
2016,2016Q3,07,H106H,Minor Injury Unit or Other,35,35,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H202H,Emergency Department,3006,2859,1,0,714,4,2276,12,0
2016,2016Q3,07,H208H,Minor Injury Unit or Other,360,360,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H210H,Minor Injury Unit or Other,87,87,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H212H,Emergency Department,896,857,0,0,142,0,746,8,0
2016,2016Q3,07,H214H,Minor Injury Unit or Other,432,432,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H215H,Minor Injury Unit or Other,227,227,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H217H,Minor Injury Unit or Other,153,153,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H219H,Minor Injury Unit or Other,154,154,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H224H,Minor Injury Unit or Other,413,399,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H227B,Minor Injury Unit or Other,180,180,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,H227H,Minor Injury Unit or Other,106,106,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,L106H,Emergency Department,5605,5391,2,0,1901,1,3582,65,56
2016,2016Q3,07,L206H,Minor Injury Unit or Other,73,73,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,L207H,Minor Injury Unit or Other,102,102,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,L302H,Emergency Department,5322,5016,41,9,1577,5,3643,77,20
2016,2016Q3,07,L308H,Emergency Department,5221,4797,22,0,1217,3,3809,65,127
2016,2016Q3,07,S108H,Minor Injury Unit or Other,189,189,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,S116H,Minor Injury Unit or Other,3596,3432,13,0,1018,0,2539,39,0
2016,2016Q3,07,S308H,Emergency Department,4396,4255,11,0,1012,7,3274,103,0
2016,2016Q3,07,S314H,Emergency Department,9865,9590,13,2,2696,13,6977,179,0
2016,2016Q3,07,S319H,Emergency Department,3348,3316,1,0,388,0,2959,1,0
2016,2016Q3,07,R103H,Emergency Department,547,536,0,0,120,0,422,0,5
2016,2016Q3,07,Z102H,Emergency Department,665,636,0,0,164,1,470,4,26
2016,2016Q3,07,T101H,Emergency Department,4054,4027,0,0,1187,3,2577,283,4
2016,2016Q3,07,T202H,Emergency Department,2262,2247,0,0,373,3,1488,398,0
2016,2016Q3,07,T205H,Minor Injury Unit or Other,30,30,0,0,0,0,27,3,0
2016,2016Q3,07,T209H,Minor Injury Unit or Other,299,299,0,0,0,0,286,11,2
2016,2016Q3,07,T304H,Minor Injury Unit or Other,1235,1234,0,0,0,0,1128,103,4
2016,2016Q3,07,T305H,Minor Injury Unit or Other,251,251,0,0,0,0,242,9,0
2016,2016Q3,07,T316H,Minor Injury Unit or Other,113,113,0,0,0,0,101,8,4
2016,2016Q3,07,T319H,Minor Injury Unit or Other,523,523,0,0,0,0,495,24,4
2016,2016Q3,07,T320H,Minor Injury Unit or Other,285,285,0,0,0,0,267,15,3
2016,2016Q3,07,T357C,Minor Injury Unit or Other,417,417,0,0,0,1,398,15,3
2016,2016Q3,07,W106H,Minor Injury Unit or Other,86,86,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,07,W107H,Emergency Department,667,664,0,0,158,0,490,8,11
2016,2016Q3,07,W108H,Minor Injury Unit or Other,136,136,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,A101H,Minor Injury Unit or Other,311,309,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,A110H,Minor Injury Unit or Other,103,103,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,A111H,Emergency Department,5891,5692,16,0,2071,8,3529,104,179
2016,2016Q3,08,A210H,Emergency Department,3985,3554,50,16,1428,4,2256,108,189
2016,2016Q3,08,A216H,Minor Injury Unit or Other,80,80,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,B103H,Minor Injury Unit or Other,12,12,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,B105H,Minor Injury Unit or Other,102,102,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,B114H,Minor Injury Unit or Other,9,9,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,B118H,Minor Injury Unit or Other,55,55,NA,NA,NA,NA,NA,NA,NA
