year_quarter,region,attendances
2016Q3,NHS Ayrshire & Arran,4844.5
2016Q3,NHS Borders,2489
2016Q3,NHS Dumfries & Galloway,2094.6666666666665
2016Q3,NHS Fife,5516.333333333333
2016Q3,NHS Forth Valley,5398
2016Q3,NHS Grampian,2866.1111111111113
2016Q3,NHS Greater Glasgow & Clyde,6125.388888888889
2016Q3,NHS Highland,1338
2016Q3,NHS Lanarkshire,5529.111111111111
2016Q3,NHS Lothian,6185.888888888889
2016Q3,NHS Orkney,524.3333333333334
2016Q3,NHS Shetland,637.3333333333334
2016Q3,NHS Tayside,3243
2016Q3,NHS Western Isles,603.6666666666666
2016Q4,NHS Ayrshire & Arran,4649.166666666667
2016Q4,NHS Borders,2342
2016Q4,NHS Dumfries & Galloway,1953.5
2016Q4,NHS Fife,5132.333333333333
2016Q4,NHS Forth Valley,5205.333333333333
2016Q4,NHS Grampian,2667.6666666666665
2016Q4,NHS Greater Glasgow & Clyde,6075.5
2016Q4,NHS Highland,1123.5833333333333
2016Q4,NHS Lanarkshire,5362.888888888889
2016Q4,NHS Lothian,6188.111111111111
2016Q4,NHS Orkney,438.6666666666667
2016Q4,NHS Shetland,595
2016Q4,NHS Tayside,2967
2016Q4,NHS Western Isles,533
2017Q1,NHS Ayrshire & Arran,4537.833333333333
2017Q1,NHS Borders,2267.6666666666665
2017Q1,NHS Dumfries & Galloway,1931.8333333333333
2017Q1,NHS Fife,4957.333333333333
2017Q1,NHS Forth Valley,5127.666666666667
2017Q1,NHS Grampian,2575
2017Q1,NHS Greater Glasgow & Clyde,5980.166666666667
2017Q1,NHS Highland,1098
2017Q1,NHS Lanarkshire,5350.666666666667
2017Q1,NHS Lothian,5964.111111111111
2017Q1,NHS Orkney,445.3333333333333
2017Q1,NHS Shetland,577.3333333333334
2017Q1,NHS Tayside,2821.8333333333335
2017Q1,NHS Western Isles,483
2017Q2,NHS Ayrshire & Arran,4975.5
2017Q2,NHS Borders,2600
2017Q2,NHS Dumfries & Galloway,2130
2017Q2,NHS Fife,5466.666666666667
2017Q2,NHS Forth Valley,5680.666666666667
2017Q2,NHS Grampian,2823.3333333333335
2017Q2,NHS Greater Glasgow & Clyde,6387.722222222223
2017Q2,NHS Highland,1301.5833333333333
2017Q2,NHS Lanarkshire,5790.444444444444
2017Q2,NHS Lothian,6301.222222222223
2017Q2,NHS Orkney,533.3333333333334
2017Q2,NHS Shetland,654.6666666666666
2017Q2,NHS Tayside,3189.6666666666665
2017Q2,NHS Western Isles,557.3333333333334
2017Q3,NHS Ayrshire & Arran,4525.5
2017Q3,NHS Borders,2582
2017Q3,NHS Dumfries & Galloway,2174.5
2017Q3,NHS Fife,5549
2017Q3,NHS Forth Valley,5482.333333333333
2017Q3,NHS Grampian,2796.8888888888887
2017Q3,NHS Greater Glasgow & Clyde,6352.388888888889
2017Q3,NHS Highland,1351.3333333333333
2017Q3,NHS Lanarkshire,5717.111111111111
2017Q3,NHS Lothian,6191.777777777777
2017Q3,NHS Orkney,543
2017Q3,NHS Shetland,665.3333333333334
2017Q3,NHS Tayside,3230.6666666666665
2017Q3,NHS Western Isles,637
2017Q4,NHS Ayrshire & Arran,4502.333333333333
2017Q4,NHS Borders,2542
2017Q4,NHS Dumfries & Galloway,1989.8333333333333
2017Q4,NHS Fife,5293.666666666667
2017Q4,NHS Forth Valley,5420.666666666667
2017Q4,NHS Grampian,2752.1111111111113
2017Q4,NHS Greater Glasgow & Clyde,6506.166666666667
2017Q4,NHS Highland,1177.8333333333333
2017Q4,NHS Lanarkshire,5732.555555555556
2017Q4,NHS Lothian,6414.333333333333
2017Q4,NHS Orkney,486.3333333333333
2017Q4,NHS Shetland,624.6666666666666
2017Q4,NHS Tayside,3106.1666666666665
2017Q4,NHS Western Isles,535
2018Q1,NHS Ayrshire & Arran,4237.166666666667
2018Q1,NHS Borders,2329.6666666666665
2018Q1,NHS Dumfries & Galloway,1793.6666666666667
2018Q1,NHS Fife,5140.666666666667
2018Q1,NHS Forth Valley,4967
2018Q1,NHS Grampian,2631.777777777778
2018Q1,NHS Greater Glasgow & Clyde,6006.888888888889
2018Q1,NHS Highland,1167.4166666666667
2018Q1,NHS Lanarkshire,5426.888888888889
2018Q1,NHS Lothian,5895.333333333333
2018Q1,NHS Orkney,481
