year_quarter,time_waiting,total_attendances
2016Q3,4hrs,399051
2016Q4,4hrs,370513
2017Q1,4hrs,358294
2017Q2,4hrs,400878
2017Q3,4hrs,397871
2017Q4,4hrs,374243
2018Q1,4hrs,343591
2018Q2,4hrs,402514
2018Q3,4hrs,396533
2018Q4,4hrs,374708
2019Q1,4hrs,371459
2019Q2,4hrs,400749
2019Q3,4hrs,410312
2019Q4,4hrs,368124
2020Q1,4hrs,321519
2020Q2,4hrs,243372
2020Q3,4hrs,327846
2020Q4,4hrs,266466
2021Q1,4hrs,234750
2021Q2,4hrs,331808
2021Q3,4hrs,314317
2021Q4,4hrs,265555
2022Q1,4hrs,84097
2016Q3,8hrs,1220
2016Q4,8hrs,2363
2017Q1,8hrs,3251
2017Q2,8hrs,1764
2017Q3,8hrs,1408
2017Q4,8hrs,4900
2018Q1,8hrs,6957
2018Q2,8hrs,3108
2018Q3,8hrs,2524
2018Q4,8hrs,3549
2019Q1,8hrs,4976
2019Q2,8hrs,3837
2019Q3,8hrs,4204
2019Q4,8hrs,9686
2020Q1,8hrs,8152
2020Q2,8hrs,570
2020Q3,8hrs,1617
2020Q4,8hrs,5168
2021Q1,8hrs,5150
2021Q2,8hrs,5377
2021Q3,8hrs,15948
2021Q4,8hrs,20164
2022Q1,8hrs,6682
2016Q3,12hrs,221
2016Q4,12hrs,423
2017Q1,12hrs,765
2017Q2,12hrs,268
2017Q3,12hrs,236
2017Q4,12hrs,1110
2018Q1,12hrs,2029
2018Q2,12hrs,681
2018Q3,12hrs,458
2018Q4,12hrs,568
2019Q1,12hrs,1103
2019Q2,12hrs,719
2019Q3,12hrs,991
2019Q4,12hrs,2751
2020Q1,12hrs,2784
2020Q2,12hrs,50
2020Q3,12hrs,252
2020Q4,12hrs,1180
2021Q1,12hrs,1396
2021Q2,12hrs,1156
2021Q3,12hrs,4244
2021Q4,12hrs,6433
2022Q1,12hrs,2266
